Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
106,0,0,465,465,466,465,465,465,466,466,465,465,465,465,466,466,465,465,466,466,466,465,466,466,465,465,465,465,466,466,466,466,466,465,466,465,466,466,465,466,466,466,465,466,465,465,466,466,466,465,465,465
107,0,0,466,466,465,465,466,466,466,465,466,466,466,466,465,465,465,466,466,465,466,465,466,465,465,465,466,465,465,466,466,465,465,466,465,465,466,466,466,466,465,466,466,465,466,465,465,465,466,466,466,465
108,0,0,466,465,465,465,466,466,466,466,466,466,466,466,466,466,466,466,466,466,465,465,466,465,466,466,466,466,466,466,465,465,465,465,466,465,465,466,465,466,465,466,466,465,466,465,465,465,466,466,466,466
109,0,0,466,465,465,466,466,466,465,466,466,466,465,466,466,465,466,465,466,465,466,466,466,465,465,465,465,466,465,466,466,465,465,466,466,466,466,466,465,465,466,465,466,466,465,466,466,466,466,465,466,466
110,0,0,466,465,466,466,466,466,466,466,466,465,465,466,465,465,465,465,466,465,466,465,466,465,466,465,466,465,466,465,466,465,466,466,466,466,465,466,465,465,465,465,465,466,465,465,466,466,466,466,466,466
111,0,0,465,465,466,466,465,466,466,466,466,466,466,466,465,466,466,465,465,466,466,465,466,466,466,466,466,466,466,466,466,466,465,466,466,466,466,466,466,466,466,466,466,465,466,466,466,466,465,466,466,465
112,0,0,466,466,466,465,466,465,466,466,466,465,466,466,465,466,465,465,466,465,466,466,465,465,466,466,466,466,465,465,465,466,465,466,465,466,466,465,466,466,466,466,465,466,466,465,465,466,466,465,465,466
113,0,0,465,465,465,465,466,466,466,465,466,466,465,466,465,466,465,466,466,466,466,466,466,466,466,466,466,466,465,465,466,465,466,465,466,465,466,465,466,465,465,465,466,466,466,466,465,466,466,465,466,466
114,0,0,466,466,465,465,466,465,466,466,466,465,465,465,465,465,466,466,465,466,465,466,465,466,465,465,466,466,466,466,465,466,465,466,465,466,465,466,465,466,465,466,465,466,465,466,466,466,466,465,466,466
115,0,0,466,465,465,466,466,465,465,465,465,465,466,466,465,465,466,466,465,465,465,466,466,466,465,466,465,466,466,466,466,466,466,466,465,466,466,466,465,466,466,466,465,465,466,465,466,465,466,466,465,466
116,0,0,466,466,466,466,465,466,465,465,465,465,465,465,465,466,466,466,466,465,466,466,466,465,466,465,466,466,465,466,466,466,465,466,465,465,466,466,466,466,466,466,465,465,466,466,465,466,465,465,466,466
117,0,0,466,466,465,465,465,466,465,466,466,465,465,466,465,466,466,465,465,465,465,466,466,466,466,466,466,465,465,465,466,466,466,465,466,466,465,465,466,466,465,466,465,466,466,466,465,466,465,465,466,466
118,0,0,466,466,465,466,466,466,466,466,465,466,466,466,466,465,466,466,465,466,465,465,466,465,465,466,465,466,465,466,465,466,465,466,466,465,466,466,465,466,465,465,465,466,466,466,465,466,465,465,466,465
119,0,0,465,466,466,465,466,465,466,466,465,466,466,466,466,465,465,466,466,465,465,466,466,466,465,466,466,465,466,466,465,466,465,466,465,465,466,465,466,466,465,466,466,465,466,466,466,466,466,466,466,466
120,0,0,466,465,466,466,465,466,466,466,466,465,465,466,466,466,465,466,465,465,465,466,466,465,466,465,465,466,465,466,466,465,466,465,465,465,466,466,466,466,465,466,465,466,465,466,465,466,466,465,466,466
121,0,0,466,466,466,466,466,465,465,465,466,465,466,465,465,466,466,466,466,465,466,465,466,466,466,466,465,466,465,466,466,466,466,466,465,465,465,466,465,466,465,466,466,465,465,466,465,465,465,466,466,466
